,Affiliation,Affiliation_2,Affiliation_3,lng,lat,id,Area_L1,Country,Area_L2
412,"Department of Biochemistry and Biotechnology, CCE, State University of Londrina, P.O. Box 10011, Londrina, PR, Brazil"," CCE, State University of Londrina, P.O. Box 10011, Londrina, PR, Brazil"," State University of Londrina, P.O. Box 10011, Londrina, PR, Brazil",-51.196919,-23.3234079,ChIJ1wqqp6Zc65QRa_8Mc7kfzQg,PR,BR,Londrina
413,"Department of Chemistry, State University of Maringá, UEM, Maringá, Brazil"," State University of Maringá, UEM, Maringá, Brazil"," UEM, Maringá, Brazil",-51.9399913,-23.404717,ChIJ-VgjmtPW7JQRHlx9q0oqp5U,PR,BR,Maringá
414," ThoMSon Mass Spectrometry Laboratory, Institute of Chemistry, University of Campinas-UNICAMP, Campinas, Brazil"," Institute of Chemistry, University of Campinas-UNICAMP, Campinas, Brazil"," University of Campinas-UNICAMP, Campinas, Brazil",-47.0688458,-22.818289,ChIJqUQOkbLGyJQRCzBp-SXF9k4,SP,BR,Campinas
415," Department of Chemistry Engineering, State University of Maringá, UEM, Maringá, Brazil"," State University of Maringá, UEM, Maringá, Brazil"," UEM, Maringá, Brazil",-51.9399913,-23.404717,ChIJ-VgjmtPW7JQRHlx9q0oqp5U,PR,BR,Maringá
416,"Universidade Federal do Recôncavo da Bahia, UFRB, Cruz das Almas, BA, Brazil"," UFRB, Cruz das Almas, BA, Brazil"," Cruz das Almas, BA, Brazil",-39.0879057,-12.659261,ChIJfS888uu9FQcR1SqeKIWRPx8,BA,BR,Cruz das Almas
417," Universidade Estadual do Sudoeste da Bahia, UESB, Itapetinga, BA, Brazil"," UESB, Itapetinga, BA, Brazil"," Itapetinga, BA, Brazil",-40.2709711,-15.2550535,ChIJAQAAAAADSAcRuz3cfW9b7o4,BA,BR,Itapetinga
418," Universidade Federal da Bahia, UFBA, Salvador, BA, Brazil"," UFBA, Salvador, BA, Brazil"," Salvador, BA, Brazil",-38.5089752,-13.0024602,ChIJd1TXVmEDFgcRVvioW0TNll8,BA,BR,Salvador
419," Discentes do Curso de Doutorado do Programa de Pós-Graduação em Zootecnia, Universidade Estadual de Maringá, UEM, Maringá, PR, Brazil"," Universidade Estadual de Maringá, UEM, Maringá, PR, Brazil"," UEM, Maringá, PR, Brazil",-51.9417856,-23.4043603,ChIJNTBRL8zW7JQRKhn2hF5MYSg,PR,BR,Maringá
420,"Centro de Ciências Químicas, Farmacêuticas e de Alimentos, Universidade Federal de Pelotas, Pelotas, RS, Brazil"," Farmacêuticas e de Alimentos, Universidade Federal de Pelotas, Pelotas, RS, Brazil"," Universidade Federal de Pelotas, Pelotas, RS, Brazil",-52.3234793,-31.7810978,ChIJISy087-1EZUROj0hcWMx8u0,RS,BR,Pelotas
421," Departamento de Química, Universidade Estadual de Maringá, Maringá, PR, Brazil"," Universidade Estadual de Maringá, Maringá, PR, Brazil"," Maringá, PR, Brazil",-51.9381131,-23.4104111,ChIJVwzGQdPW7JQRmQlWF0e1ZX4,PR,BR,Maringá
422," Departamento de Zootecnia, Universidade Federal de São João Del-Rei, São João del-Rei, MG, Brazil"," Universidade Federal de São João Del-Rei, São João del-Rei, MG, Brazil"," São João del-Rei, MG, Brazil",-44.2507737,-21.1248621,ChIJWep6fJHIoQARmv5SeAWSOnw,MG,BR,São João Del Rei
423," Instituto de Química, Universidade de São Paulo, São Paulo, SP, Brazil"," Universidade de São Paulo, São Paulo, SP, Brazil"," São Paulo, SP, Brazil",-46.7261623,-23.5647332,ChIJO6E7LEJWzpQREKX-cNAour0,SP,BR,São Paulo
424," Centro de Engenharia, Modelagem e Ciências Sociais Aplicadas, Universidade Federal Do ABC, Santo André, SP, Brazil"," Modelagem e Ciências Sociais Aplicadas, Universidade Federal Do ABC, Santo André, SP, Brazil"," Universidade Federal Do ABC, Santo André, SP, Brazil",-46.5283129,-23.6446169,ChIJVw2It5dCzpQRtoBCgiq63a4,SP,BR,Santo André
425," Universidade Federal Do ABC, Centro de Ciências Naturais e Humanas, Avenida dos Estados, 5001, Santo André, São Paulo, Brazil"," Centro de Ciências Naturais e Humanas, Avenida dos Estados, 5001, Santo André, São Paulo, Brazil"," Avenida dos Estados, 5001, Santo André, São Paulo, Brazil",-46.5283129,-23.6446169,ChIJVw2It5dCzpQRtoBCgiq63a4,SP,BR,Santo André
426,"Biorefining Research Institute, Lakehead University, Thunder Bay, ON, Canada"," Lakehead University, Thunder Bay, ON, Canada"," Thunder Bay, ON, Canada",-89.2618968,48.4214812,ChIJse_yhL4hWU0RDINHCb2gdDY,ON,CA,Thunder Bay District
427," Biorefining and Biotechnology Consultancy, Rua João Huss 200, Gleba Palhano, Londrina, PR, Brazil"," Rua João Huss 200, Gleba Palhano, Londrina, PR, Brazil"," Gleba Palhano, Londrina, PR, Brazil",-51.1765651,-23.3286883,ChIJ66WUs01D65QRGURy8MXgBhQ,PR,BR,Londrina
